sku,location,forecast_date,forecasted_demand,confidence_p10,confidence_p50,confidence_p90,confidence_score,model_version,generated_at
SKU-001,Store-NYC,2026-03-03,51.41,29.29,51.41,73.52,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-04,51.91,29.79,51.91,74.03,0.93,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-05,51.69,29.57,51.69,73.81,0.75,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-06,51.77,29.65,51.77,73.89,0.9,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-07,66.6,44.48,66.6,88.72,0.79,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-08,65.42,43.3,65.42,87.54,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-09,50.42,28.3,50.42,72.54,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-10,50.86,28.74,50.86,72.98,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-11,50.88,28.76,50.88,73.0,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-12,50.56,28.44,50.56,72.68,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-13,54.25,32.13,54.25,76.37,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-14,68.86,46.74,68.86,90.98,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-15,62.33,40.21,62.33,84.45,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-16,50.83,28.71,50.83,72.95,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-17,49.62,27.5,49.62,71.73,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-18,48.82,26.71,48.82,70.94,0.93,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-19,54.64,32.52,54.64,76.76,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-20,49.26,27.14,49.26,71.38,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-21,71.03,48.92,71.03,93.15,0.84,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-22,66.97,44.85,66.97,89.09,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-23,50.89,28.77,50.89,73.01,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-24,56.73,34.61,56.73,78.85,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-25,56.02,33.9,56.02,78.14,0.84,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-26,51.94,29.82,51.94,74.06,0.79,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-27,51.86,29.74,51.86,73.98,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-28,73.41,51.29,73.41,95.53,0.93,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-29,74.07,51.95,74.07,96.19,0.94,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-30,53.44,31.32,53.44,75.55,0.9,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-03-31,53.35,31.23,53.35,75.47,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-NYC,2026-04-01,47.86,25.74,47.86,69.98,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-03,56.06,37.27,56.06,74.85,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-04,56.52,37.73,56.52,75.31,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-05,55.55,36.76,55.55,74.34,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-06,56.85,38.07,56.85,75.64,0.85,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-07,72.11,53.33,72.11,90.9,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-08,71.9,53.12,71.9,90.69,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-09,55.92,37.13,55.92,74.71,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-10,54.7,35.91,54.7,73.49,0.79,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-11,55.44,36.66,55.44,74.23,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-12,55.15,36.36,55.15,73.94,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-13,55.5,36.72,55.5,74.29,0.75,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-14,72.87,54.08,72.87,91.65,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-15,72.41,53.62,72.41,91.2,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-16,59.94,41.15,59.94,78.73,0.9,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-17,53.84,35.05,53.84,72.63,0.93,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-18,59.99,41.2,59.99,78.78,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-19,60.63,41.84,60.63,79.41,0.87,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-20,57.25,38.47,57.25,76.04,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-21,69.28,50.5,69.28,88.07,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-22,79.93,61.14,79.93,98.72,0.85,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-23,53.9,35.11,53.9,72.69,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-24,52.89,34.11,52.89,71.68,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-25,61.39,42.6,61.39,80.18,0.87,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-26,57.23,38.45,57.23,76.02,0.85,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-27,51.61,32.83,51.61,70.4,0.76,v1.0,2026-03-02 14:05:59
